edad,ingreso_mensual,confianza_mercado,apoyo_redistribucion,valoracion_orden_publico,preferencia_politica
40,930000,3,6,3,Izquierda
33,840000,4,4,4,Derecha
61,950000,7,5,5,Centro
57,2720000,5,8,3,Izquierda
36,2620000,4,3,5,Derecha
31,2460000,5,2,4,Derecha
62,880000,3,4,4,Izquierda
49,2430000,7,5,5,Centro
35,2350000,7,6,10,Centro
53,990000,5,6,4,Izquierda
78,5500000,6,9,7,Centro
39,980000,7,4,5,Centro
45,1230000,6,7,8,Centro
35,830000,7,5,5,Centro
57,790000,8,4,7,Derecha
55,510000,3,6,4,Centro
24,990000,4,5,6,Centro
72,890000,5,4,7,Derecha
59,2220000,3,7,2,Izquierda
23,700000,2,7,3,Izquierda
66,870000,4,5,6,Centro
34,1120000,4,2,6,Derecha
60,2220000,2,5,6,Centro
41,950000,7,4,9,Derecha
43,1200000,2,5,9,Izquierda
50,580000,2,8,1,Izquierda
50,1240000,7,6,3,Izquierda
61,530000,5,2,6,Derecha
51,680000,6,3,7,Derecha
40,1480000,6,7,1,Izquierda
28,1330000,9,3,3,Derecha
60,610000,6,3,6,Derecha
61,1420000,2,10,2,Izquierda
45,2200000,8,6,9,Centro
49,1170000,9,5,6,Derecha
52,580000,9,7,7,Derecha
44,4470000,3,6,4,Izquierda
43,1010000,7,3,4,Centro
49,740000,5,6,4,Centro
36,2240000,9,4,7,Derecha
20,630000,6,4,2,Centro
48,960000,6,5,5,Derecha
33,2920000,4,10,4,Izquierda
46,970000,4,3,7,Derecha
51,600000,5,5,6,Izquierda
39,2180000,6,5,8,Centro
37,2350000,9,6,7,Centro
20,820000,5,10,4,Izquierda
24,780000,6,5,3,Izquierda
44,3220000,4,9,5,Izquierda
29,570000,6,7,5,Derecha
56,2130000,6,6,4,Centro
27,980000,4,7,4,Izquierda
18,1410000,4,5,7,Izquierda
28,1710000,5,6,3,Centro
24,770000,7,5,3,Centro
59,830000,5,1,9,Derecha
29,1630000,5,9,7,Izquierda
60,2920000,3,6,7,Centro
49,830000,7,2,6,Derecha
20,400000,5,6,9,Derecha
48,640000,7,6,4,Izquierda
48,1090000,10,4,10,Derecha
40,1460000,5,2,4,Derecha
31,1120000,4,7,6,Izquierda
28,800000,10,1,2,Derecha
44,850000,6,6,5,Centro
25,1620000,7,6,6,Derecha
42,350000,10,7,9,Derecha
43,1610000,5,4,2,Derecha
18,2530000,10,4,4,Derecha
40,1310000,7,4,5,Derecha
59,1320000,6,5,8,Izquierda
42,950000,5,7,8,Izquierda
44,1190000,3,8,4,Izquierda
60,600000,7,4,5,Centro
52,1390000,5,6,6,Centro
35,1130000,6,8,2,Izquierda
30,430000,4,7,2,Izquierda
54,930000,10,2,5,Derecha
29,1070000,8,3,10,Derecha
47,580000,4,6,6,Centro
41,520000,8,7,9,Centro
52,860000,6,5,4,Centro
59,1700000,5,4,4,Derecha
40,1060000,7,6,7,Derecha
44,1190000,6,7,5,Centro
43,1800000,2,8,1,Izquierda
52,690000,6,6,4,Izquierda
33,870000,8,6,7,Centro
59,2670000,7,2,8,Derecha
35,790000,2,6,3,Izquierda
48,1180000,6,7,7,Centro
47,1700000,2,5,6,Centro
35,1010000,6,8,5,Izquierda
56,1010000,4,6,5,Centro
56,1160000,3,6,10,Centro
52,360000,3,6,8,Centro
38,1250000,1,10,4,Izquierda
35,2210000,4,5,2,Centro
35,1290000,3,6,3,Izquierda
23,1570000,6,4,4,Centro
34,650000,7,4,6,Centro
51,2030000,6,4,6,Derecha
37,3260000,8,5,6,Derecha
54,4390000,3,6,6,Izquierda
31,590000,9,5,5,Derecha
34,620000,6,3,4,Centro
70,2720000,2,7,6,Izquierda
61,770000,5,7,6,Centro
40,990000,7,5,7,Centro
39,830000,4,6,5,Izquierda
35,1840000,9,2,10,Derecha
43,350000,6,8,5,Izquierda
72,1490000,5,9,8,Centro
38,5500000,3,6,5,Izquierda
36,1420000,5,7,5,Centro
33,670000,6,3,3,Centro
18,1920000,7,3,3,Derecha
56,3290000,6,6,5,Izquierda
64,2400000,1,10,2,Izquierda
43,2280000,3,8,4,Izquierda
62,400000,5,8,7,Izquierda
42,2630000,6,5,9,Derecha
36,890000,5,5,4,Izquierda
37,650000,8,5,8,Derecha
45,1560000,4,3,5,Centro
41,720000,5,5,5,Centro
30,1300000,4,7,4,Izquierda
27,410000,10,3,6,Derecha
53,690000,7,3,5,Derecha
19,920000,4,7,4,Izquierda
50,820000,4,4,3,Izquierda
45,680000,5,5,4,Izquierda
64,560000,3,8,7,Izquierda
27,1000000,5,4,5,Centro
38,470000,6,6,7,Derecha
73,630000,4,8,4,Izquierda
22,2960000,4,6,4,Izquierda
44,2190000,6,4,4,Centro
44,2570000,3,6,5,Centro
59,660000,6,7,5,Izquierda
30,670000,4,8,4,Izquierda
41,820000,7,6,5,Izquierda
57,780000,3,6,7,Izquierda
30,2310000,6,8,6,Centro
31,1180000,6,2,2,Derecha
43,1090000,6,7,8,Centro
43,1180000,7,6,5,Centro
43,1130000,7,3,9,Derecha
82,2070000,6,6,10,Centro
22,490000,7,7,7,Centro
60,680000,3,9,5,Izquierda
34,1040000,7,5,7,Centro
22,770000,4,8,1,Izquierda
38,600000,7,6,4,Izquierda
46,2170000,3,7,7,Centro
54,3980000,5,7,5,Izquierda
32,2070000,6,5,7,Derecha
44,390000,6,7,7,Centro
45,1390000,6,6,5,Centro
24,660000,7,6,5,Centro
39,1780000,3,6,5,Centro
47,490000,7,4,3,Derecha
62,500000,7,5,6,Derecha
34,1530000,7,5,4,Centro
38,1040000,2,2,3,Centro
58,1330000,2,6,6,Centro
38,870000,7,6,7,Centro
28,1030000,9,6,9,Derecha
48,600000,5,8,6,Izquierda
36,1390000,6,7,7,Centro
44,480000,2,8,6,Centro
46,1260000,5,7,6,Izquierda
28,1530000,6,5,4,Derecha
53,1710000,4,6,7,Centro
18,570000,5,3,4,Izquierda
69,3880000,2,10,5,Izquierda
75,620000,5,6,7,Centro
40,1080000,6,6,4,Derecha
60,890000,2,4,6,Centro
26,1690000,7,6,5,Derecha
51,3090000,8,3,5,Derecha
47,1110000,5,5,5,Izquierda
42,870000,7,6,10,Derecha
50,370000,3,5,2,Izquierda
55,4110000,9,4,8,Derecha
48,1240000,6,4,7,Derecha
18,1840000,3,7,2,Izquierda
55,2310000,8,6,8,Derecha
18,810000,2,6,5,Izquierda
33,590000,4,7,7,Izquierda
44,1200000,7,4,8,Derecha
65,1480000,8,5,6,Derecha
54,2010000,6,6,6,Izquierda
20,1650000,7,7,4,Derecha
47,1330000,6,7,6,Derecha
56,2230000,6,5,3,Centro
43,990000,8,6,2,Centro
59,760000,3,9,8,Izquierda
30,2240000,6,6,5,Centro
66,630000,4,9,7,Centro
35,350000,3,4,2,Centro
51,2130000,5,6,3,Centro
59,970000,5,4,6,Izquierda
56,430000,10,4,5,Derecha
26,550000,3,6,5,Derecha
38,1440000,9,1,8,Derecha
38,1180000,6,5,3,Izquierda
57,350000,5,5,5,Centro
57,850000,4,5,4,Centro
36,970000,9,4,5,Derecha
50,730000,8,6,8,Derecha
54,860000,6,5,8,Derecha
30,1030000,5,5,3,Centro
64,1150000,4,5,3,Centro
41,1030000,4,5,4,Centro
26,710000,10,4,7,Derecha
37,1530000,9,4,5,Derecha
47,420000,8,5,2,Izquierda
31,1450000,6,4,6,Centro
18,850000,4,5,6,Centro
35,2610000,4,6,4,Izquierda
45,360000,4,6,5,Centro
60,1970000,7,7,4,Centro
33,1210000,4,4,4,Izquierda
63,1340000,2,7,4,Izquierda
44,1420000,8,3,6,Derecha
77,2250000,7,6,3,Centro
27,1510000,5,4,6,Centro
54,690000,9,5,6,Centro
48,4210000,9,5,9,Derecha
36,770000,9,6,7,Centro
56,4750000,7,2,8,Derecha
47,1410000,8,4,8,Derecha
31,5160000,1,6,3,Izquierda
41,1330000,5,8,5,Izquierda
33,360000,3,5,6,Izquierda
82,2250000,4,4,4,Centro
53,650000,5,5,5,Centro
58,1570000,5,5,6,Derecha
44,1310000,6,2,7,Derecha
35,1360000,10,1,10,Derecha
67,1870000,5,4,6,Derecha
65,560000,4,4,6,Centro
39,930000,7,6,6,Centro
44,1850000,6,4,8,Derecha
58,520000,9,7,8,Derecha
45,350000,4,5,4,Centro
65,4090000,6,6,6,Centro
32,460000,5,7,8,Izquierda
20,1750000,5,5,5,Centro
57,1760000,5,5,5,Centro
76,350000,4,4,5,Derecha
64,2260000,5,5,9,Centro
27,730000,8,4,8,Derecha
34,1750000,3,4,4,Derecha
46,1790000,6,4,5,Derecha
53,2970000,5,6,7,Centro
18,570000,9,3,7,Derecha
42,2230000,3,9,5,Izquierda
43,1150000,3,6,7,Izquierda
48,770000,5,6,7,Derecha
44,1070000,1,4,5,Centro
53,740000,5,4,2,Centro
35,740000,8,3,7,Derecha
51,1290000,3,7,3,Izquierda
61,3260000,4,5,10,Derecha
67,990000,8,5,7,Derecha
65,1470000,5,8,8,Centro
39,540000,3,6,5,Centro
57,620000,6,2,6,Derecha
44,920000,3,3,5,Centro
31,450000,4,5,6,Izquierda
56,2440000,6,4,3,Centro
41,350000,4,7,8,Centro
40,1190000,5,5,6,Derecha
51,1070000,3,6,3,Centro
41,1830000,8,3,3,Derecha
47,1050000,7,7,1,Centro
47,2230000,5,8,10,Centro
57,2320000,3,8,5,Izquierda
47,690000,5,2,4,Derecha
43,380000,5,7,3,Izquierda
54,2530000,6,6,6,Derecha
34,2500000,6,3,4,Derecha
64,1280000,5,4,5,Centro
38,990000,5,7,5,Izquierda
58,2030000,6,6,10,Centro
22,1120000,5,5,6,Centro
69,1840000,2,10,3,Izquierda
33,2270000,6,6,4,Centro
54,1550000,6,4,6,Centro
41,440000,2,8,4,Izquierda
18,520000,1,7,3,Izquierda
55,1440000,4,6,8,Izquierda
43,990000,8,3,6,Derecha
41,970000,5,3,6,Izquierda
60,640000,3,6,3,Izquierda
53,750000,6,1,5,Derecha
48,3320000,4,7,4,Izquierda
37,710000,4,4,3,Centro
63,1080000,3,7,3,Izquierda
74,700000,9,6,6,Centro
58,830000,5,8,6,Izquierda
24,810000,5,8,8,Izquierda
42,1450000,2,4,1,Centro
52,440000,5,7,7,Izquierda
20,1340000,4,9,5,Izquierda
39,710000,7,5,5,Centro
74,2950000,2,9,6,Izquierda
73,1810000,5,9,6,Centro
18,1290000,4,5,6,Izquierda
54,2140000,8,4,2,Centro
34,970000,4,5,4,Izquierda
39,1600000,9,1,9,Derecha
31,1890000,8,1,3,Derecha
68,450000,5,2,9,Derecha
43,860000,6,4,7,Derecha
62,720000,5,6,6,Centro
69,1370000,6,6,7,Centro
28,970000,2,7,5,Izquierda
67,1500000,6,8,5,Izquierda
18,980000,4,4,4,Izquierda
54,1390000,6,5,7,Centro
28,430000,7,3,4,Centro
53,910000,5,4,6,Derecha
56,2700000,8,3,8,Derecha
24,1360000,5,5,7,Centro
30,4210000,4,7,5,Centro
23,1270000,3,7,5,Izquierda
46,1430000,8,5,1,Derecha
53,1730000,3,5,3,Centro
42,3620000,6,4,8,Izquierda
41,2350000,7,5,2,Centro
43,1080000,6,4,7,Centro
30,2020000,5,8,1,Izquierda
52,570000,9,4,6,Derecha
49,940000,6,7,5,Centro
62,630000,4,5,4,Centro
40,1960000,5,5,7,Centro
57,1100000,8,7,8,Izquierda
85,3040000,4,5,2,Izquierda
40,550000,1,4,6,Izquierda
42,550000,10,4,7,Derecha
46,1150000,5,7,6,Izquierda
24,830000,8,4,7,Derecha
42,3630000,7,4,6,Derecha
38,770000,6,5,5,Derecha
30,410000,5,7,6,Izquierda
35,1970000,4,7,6,Izquierda
25,1330000,2,6,7,Centro
44,350000,8,4,6,Derecha
48,1020000,7,5,7,Derecha
49,590000,5,5,6,Centro
36,1950000,9,4,4,Derecha
19,1330000,7,7,10,Derecha
40,1090000,8,4,7,Derecha
37,440000,3,4,3,Izquierda
34,430000,6,2,5,Derecha
18,940000,8,3,6,Derecha
25,1120000,6,9,6,Izquierda
24,520000,4,6,5,Izquierda
36,800000,6,7,7,Centro
53,980000,9,3,8,Derecha
29,750000,5,7,5,Izquierda
72,430000,3,10,4,Izquierda
41,1130000,6,7,5,Izquierda
69,3060000,7,3,6,Derecha
40,930000,6,6,3,Derecha
54,2000000,5,8,7,Centro
40,420000,8,3,4,Centro
57,2050000,6,7,7,Derecha
33,1720000,5,9,3,Izquierda
42,1960000,5,4,3,Derecha
61,380000,2,4,6,Izquierda
36,690000,4,3,3,Izquierda
70,630000,8,3,6,Derecha
18,1090000,6,5,1,Izquierda
50,2960000,6,6,6,Centro
52,1370000,3,8,6,Izquierda
26,1620000,2,8,7,Izquierda
41,2080000,6,6,7,Centro
53,5050000,8,3,7,Derecha
62,2680000,8,3,6,Derecha
57,1470000,4,6,3,Izquierda
59,1550000,6,1,5,Derecha
42,2260000,3,7,4,Izquierda
64,880000,5,6,3,Izquierda
27,1300000,8,8,8,Centro
40,660000,2,7,4,Izquierda
21,2450000,6,7,5,Centro
18,910000,5,2,6,Derecha
28,820000,5,5,7,Izquierda
45,500000,2,5,2,Izquierda
47,2380000,7,1,7,Derecha
63,4910000,3,8,7,Izquierda
20,2000000,9,4,8,Derecha
48,2730000,6,7,5,Centro
41,790000,4,5,9,Centro
61,2590000,4,8,6,Izquierda
29,350000,5,5,4,Derecha
29,1950000,4,3,7,Centro
23,1040000,5,6,5,Izquierda
18,890000,1,9,7,Izquierda
60,1270000,7,3,3,Izquierda
30,700000,6,4,6,Centro
54,510000,6,4,4,Derecha
29,870000,7,7,6,Centro
63,770000,5,8,9,Centro
29,690000,4,4,2,Centro
26,1190000,6,5,4,Centro
68,740000,2,5,5,Centro
63,1730000,7,3,7,Derecha
72,700000,3,9,7,Izquierda
66,1300000,7,5,2,Centro
37,700000,4,6,3,Izquierda
48,2620000,4,7,2,Izquierda
26,4050000,4,6,3,Izquierda
77,1020000,5,4,9,Derecha
18,2040000,8,3,4,Derecha
48,460000,8,1,8,Derecha
26,950000,1,10,8,Izquierda
50,1880000,3,7,1,Izquierda
18,690000,7,6,10,Centro
18,1320000,8,7,6,Centro
31,1120000,8,7,5,Centro
39,900000,3,6,6,Izquierda
47,1500000,4,9,3,Izquierda
50,1480000,8,4,6,Derecha
42,690000,7,7,8,Centro
18,370000,9,3,5,Derecha
37,1090000,5,2,5,Derecha
18,3830000,1,8,3,Izquierda
60,1490000,6,4,4,Derecha
50,670000,5,4,7,Derecha
26,1730000,7,6,6,Centro
46,1050000,7,4,6,Centro
54,1840000,7,4,6,Derecha
37,840000,7,3,9,Derecha
47,1360000,5,8,7,Centro
38,840000,5,6,6,Izquierda
64,2010000,5,3,4,Derecha
34,3250000,7,5,5,Derecha
58,1100000,8,6,9,Derecha
64,2010000,6,8,4,Centro
45,460000,6,6,8,Centro
38,2560000,5,8,2,Izquierda
47,2140000,7,7,6,Centro
41,720000,4,3,5,Izquierda
31,1750000,6,4,8,Derecha
32,980000,9,3,7,Derecha
62,1750000,4,9,4,Izquierda
35,1380000,6,3,4,Derecha
47,4460000,7,7,7,Izquierda
36,680000,5,4,3,Centro
23,900000,5,5,5,Izquierda
50,990000,5,4,4,Centro
38,350000,6,6,8,Centro
25,930000,6,5,6,Centro
18,1600000,5,7,9,Centro
24,1590000,7,5,8,Izquierda
26,940000,5,7,2,Centro
31,640000,6,7,4,Centro
36,1280000,1,10,1,Izquierda
29,710000,10,8,5,Derecha
52,2470000,6,4,4,Derecha
40,2270000,8,5,5,Centro
34,1540000,3,3,6,Izquierda
67,460000,6,8,9,Derecha
32,1650000,7,5,6,Derecha
47,690000,4,5,5,Derecha
35,1570000,4,5,3,Derecha
83,350000,3,4,7,Derecha
29,1000000,8,3,4,Derecha
50,3550000,5,7,4,Izquierda
23,1970000,5,6,3,Centro
41,970000,3,7,1,Izquierda
34,970000,7,7,3,Izquierda
55,4260000,8,5,7,Derecha
69,890000,4,6,3,Centro
42,2650000,5,6,5,Centro
61,1840000,8,4,9,Derecha
54,1110000,5,8,7,Centro
44,1620000,5,6,6,Centro
37,790000,6,6,7,Centro
36,1660000,6,6,4,Centro
41,700000,8,5,8,Derecha
18,1710000,6,5,3,Centro
61,890000,6,7,8,Derecha
63,1200000,7,3,7,Derecha
68,410000,5,7,5,Centro
38,4630000,8,7,5,Derecha
39,1550000,6,9,7,Izquierda
41,780000,5,4,1,Centro
57,1280000,3,5,6,Izquierda
51,530000,3,5,8,Izquierda
42,410000,3,6,8,Izquierda
61,970000,7,4,5,Derecha
59,1890000,6,7,9,Derecha
28,2050000,5,8,4,Centro
45,350000,8,1,9,Derecha
38,350000,7,8,5,Izquierda
55,1060000,3,6,2,Izquierda
41,1430000,10,5,6,Derecha
37,1850000,8,6,6,Centro
25,790000,7,7,6,Centro
49,590000,3,8,5,Izquierda
52,1140000,6,8,3,Centro
30,1180000,5,9,3,Derecha
41,1330000,9,3,4,Derecha
38,2520000,7,4,6,Derecha
24,770000,5,7,5,Centro
28,2170000,5,4,5,Derecha
70,440000,3,9,8,Centro
57,610000,4,4,4,Derecha
49,2380000,5,8,7,Centro
65,1770000,4,5,7,Derecha
56,4270000,4,7,5,Centro
49,3540000,5,6,7,Izquierda
50,1700000,5,7,10,Centro
26,1500000,8,4,7,Derecha
69,2750000,5,4,8,Derecha
65,410000,6,7,9,Centro
30,850000,6,9,6,Izquierda
52,2630000,6,6,6,Centro
30,3350000,4,6,7,Izquierda
38,350000,8,3,3,Derecha
28,670000,4,6,4,Izquierda
24,1130000,2,9,7,Izquierda
36,2230000,7,5,6,Centro
49,350000,5,6,5,Izquierda
43,2010000,7,5,7,Centro
52,3120000,7,3,6,Derecha
37,1770000,6,5,5,Centro
67,530000,7,10,6,Izquierda
50,1560000,10,9,8,Derecha
42,1220000,4,8,7,Izquierda
67,900000,4,5,7,Derecha
21,1960000,4,6,6,Izquierda
41,1500000,7,5,5,Derecha
51,800000,8,6,6,Centro
27,670000,9,4,10,Derecha
40,1860000,8,6,10,Derecha
49,620000,5,8,6,Izquierda
46,1110000,4,2,6,Centro
42,1550000,8,5,8,Derecha
64,2480000,5,5,4,Centro
70,2330000,4,8,4,Izquierda
42,500000,8,2,8,Derecha
59,990000,3,9,6,Izquierda
53,720000,2,9,4,Izquierda
50,710000,6,5,3,Centro
25,2740000,9,6,8,Centro
47,1700000,8,2,2,Centro
54,550000,7,4,6,Derecha
34,610000,7,8,5,Izquierda
32,970000,7,6,4,Centro
60,1580000,6,3,9,Derecha
78,990000,4,8,3,Izquierda
30,1160000,9,3,7,Derecha
28,1670000,5,3,4,Centro
51,680000,4,6,2,Izquierda
47,1690000,8,2,6,Derecha
48,550000,6,6,3,Izquierda
38,490000,6,5,7,Centro
39,1910000,8,4,9,Derecha
57,1030000,10,2,6,Derecha
60,920000,6,7,6,Centro
18,350000,6,5,8,Izquierda
34,1730000,4,2,6,Derecha
64,800000,5,5,1,Centro
59,3110000,8,8,5,Centro
36,1150000,6,6,4,Centro
27,730000,1,6,5,Izquierda
22,2520000,5,7,4,Centro
78,870000,5,6,7,Centro
37,1790000,5,5,6,Centro
24,890000,6,5,4,Centro
40,1580000,7,5,7,Centro
28,2000000,5,8,6,Centro
49,710000,6,2,6,Derecha
72,3100000,9,5,4,Centro
47,1040000,10,3,5,Derecha
18,730000,7,7,3,Derecha
67,1590000,3,9,5,Izquierda
67,550000,3,4,1,Izquierda
54,1280000,7,3,5,Derecha
38,3920000,5,9,5,Izquierda
56,830000,6,7,3,Izquierda
49,1440000,7,6,7,Centro
30,1130000,2,8,4,Izquierda
19,800000,4,7,6,Centro
20,4400000,5,10,5,Izquierda
18,440000,1,7,2,Izquierda
40,1000000,1,8,4,Izquierda
52,2400000,4,7,6,Izquierda
40,940000,5,5,3,Izquierda
64,780000,3,4,4,Centro
53,1100000,8,9,9,Centro
36,1650000,4,7,6,Izquierda
67,1140000,5,6,8,Derecha
64,960000,4,4,6,Izquierda
45,720000,2,9,5,Izquierda
70,1020000,5,9,6,Izquierda
73,1190000,5,7,6,Centro
69,1180000,4,6,6,Izquierda
43,350000,7,4,5,Izquierda
74,3490000,3,6,5,Centro
46,570000,6,5,3,Derecha
40,2090000,5,4,4,Izquierda
37,1890000,7,5,5,Centro
34,840000,5,5,2,Centro
58,1250000,5,4,5,Izquierda
51,1500000,2,7,6,Centro
62,520000,6,6,6,Centro
53,2810000,4,5,9,Izquierda
70,620000,8,4,6,Derecha
53,1040000,2,8,5,Izquierda
24,2430000,3,6,6,Izquierda
50,4180000,10,4,6,Derecha
60,710000,6,5,3,Derecha
24,640000,6,6,3,Centro
61,4420000,6,6,7,Derecha
56,1470000,2,6,4,Izquierda
50,2830000,4,6,6,Centro
69,410000,6,9,1,Izquierda
64,490000,7,7,8,Centro
54,2080000,5,5,5,Izquierda
54,860000,6,5,6,Centro
40,1760000,5,7,3,Izquierda
20,570000,2,8,4,Izquierda
30,520000,3,7,7,Centro
47,2120000,4,2,8,Centro
40,1140000,5,7,5,Centro
50,3000000,4,6,5,Centro
51,1240000,5,5,7,Centro
30,580000,9,4,5,Derecha
32,2600000,4,7,8,Izquierda
53,710000,4,6,1,Izquierda
35,1850000,4,6,7,Izquierda
39,5500000,6,6,4,Centro
45,840000,6,5,4,Centro
18,750000,4,5,6,Centro
49,1320000,7,2,7,Derecha
31,5500000,6,4,8,Derecha
53,590000,2,8,3,Izquierda
44,800000,4,6,5,Izquierda
52,370000,4,9,1,Izquierda
76,350000,4,4,5,Derecha
25,1210000,6,8,9,Derecha
21,2370000,3,5,4,Centro
28,770000,3,10,6,Izquierda
33,350000,2,7,5,Izquierda
41,3440000,10,6,6,Centro
64,2080000,9,1,8,Derecha
42,2400000,7,3,8,Derecha
48,2760000,6,2,7,Derecha
67,5500000,4,3,8,Derecha
35,600000,10,3,8,Derecha
50,1370000,4,3,2,Centro
25,990000,3,7,4,Izquierda
32,870000,7,4,8,Derecha
38,2040000,5,6,6,Centro
39,680000,2,5,4,Izquierda
65,990000,6,4,9,Centro
37,1330000,4,8,2,Izquierda
36,2760000,8,4,7,Derecha
57,680000,6,4,5,Derecha
43,1680000,7,5,4,Derecha
21,3110000,10,3,9,Derecha
48,980000,5,8,6,Centro
46,1400000,6,9,6,Izquierda
45,850000,6,2,9,Derecha
62,2340000,6,7,5,Centro
39,900000,4,6,4,Centro
58,2780000,6,6,4,Izquierda
30,760000,5,7,9,Izquierda
18,610000,4,7,3,Izquierda
44,3600000,4,8,6,Centro
30,1170000,4,6,5,Centro
18,890000,7,5,8,Derecha
21,1170000,8,3,4,Derecha
41,690000,4,6,5,Izquierda
85,720000,4,7,4,Izquierda
67,1660000,5,5,5,Derecha
57,350000,5,6,6,Centro
53,710000,5,5,6,Izquierda
57,1110000,1,10,3,Izquierda
40,960000,5,7,1,Izquierda
29,940000,6,4,7,Derecha
28,810000,6,6,7,Izquierda
31,830000,4,7,6,Izquierda
54,1330000,5,4,5,Centro
52,1100000,6,5,2,Centro
35,1180000,5,8,5,Izquierda
31,1980000,4,8,9,Izquierda
52,530000,5,6,3,Izquierda
37,1040000,9,4,5,Derecha
37,1780000,5,6,4,Izquierda
25,370000,5,5,4,Izquierda
53,1320000,8,2,6,Derecha
46,960000,7,5,6,Derecha
46,1180000,6,4,9,Derecha
23,2520000,9,4,8,Derecha
64,3560000,6,7,3,Centro
40,700000,3,4,8,Centro
41,2100000,8,7,6,Derecha
68,1020000,7,4,3,Centro
34,1740000,4,6,4,Derecha
52,1190000,9,5,6,Centro
31,1380000,5,6,7,Centro
25,1020000,1,9,4,Izquierda
29,2100000,2,7,5,Centro
59,970000,3,9,7,Izquierda
59,1810000,6,5,4,Centro
22,2030000,3,6,4,Izquierda
44,350000,5,5,5,Centro
51,4020000,4,6,3,Centro
18,1410000,5,4,3,Centro
39,620000,9,3,8,Derecha
34,2140000,4,8,2,Centro
56,520000,8,2,7,Derecha
64,500000,1,8,4,Izquierda
19,630000,5,6,6,Izquierda
60,950000,6,4,6,Derecha
54,2860000,7,7,6,Centro
37,990000,3,5,5,Derecha
56,3850000,6,7,8,Centro
45,840000,4,5,4,Centro
42,1970000,2,7,4,Izquierda
18,350000,7,8,10,Izquierda
30,590000,6,6,6,Centro
20,1070000,4,6,7,Centro
22,3270000,4,6,4,Centro
45,1320000,7,4,2,Derecha
32,1270000,4,8,6,Izquierda
44,540000,6,5,5,Izquierda
71,730000,3,6,5,Izquierda
32,2600000,2,9,4,Izquierda
20,920000,6,5,7,Izquierda
20,2210000,4,4,4,Centro
41,2430000,3,8,5,Izquierda
27,1070000,5,5,6,Izquierda
63,1560000,7,5,3,Centro
20,1270000,5,4,7,Derecha
38,4130000,8,4,6,Derecha
33,640000,9,6,8,Centro
28,650000,4,7,5,Izquierda
35,980000,4,6,5,Izquierda
19,1540000,6,4,7,Centro
45,440000,8,4,3,Derecha
47,970000,2,10,3,Izquierda
44,610000,5,6,4,Izquierda
44,1470000,6,6,3,Centro
30,1340000,8,3,4,Derecha
61,1050000,6,5,4,Centro
26,730000,10,1,8,Derecha
51,2420000,2,5,6,Centro
49,640000,3,10,5,Izquierda
50,510000,6,2,7,Derecha
49,760000,4,8,3,Izquierda
36,990000,5,7,7,Centro
18,1270000,4,5,6,Centro
30,670000,6,6,3,Izquierda
66,830000,3,4,3,Izquierda
41,1120000,5,5,7,Centro
58,790000,6,2,9,Derecha
39,550000,6,4,7,Derecha
64,740000,7,5,7,Derecha
43,930000,9,4,3,Centro
70,1500000,3,8,5,Izquierda
33,650000,3,5,6,Izquierda
61,630000,7,7,6,Derecha
61,960000,5,6,3,Izquierda
51,2430000,10,5,9,Derecha
27,900000,9,6,6,Derecha
35,940000,3,8,7,Izquierda
39,2450000,4,8,5,Izquierda
44,570000,3,6,4,Izquierda
46,1810000,7,3,5,Centro
40,1560000,6,8,8,Izquierda
34,1800000,7,4,8,Derecha
43,2720000,5,3,3,Centro
44,430000,6,8,6,Izquierda
43,1980000,3,3,5,Centro
18,820000,6,2,5,Derecha
58,1520000,7,5,7,Derecha
43,1480000,4,7,7,Centro
32,720000,7,4,5,Centro
57,1920000,8,7,8,Centro
60,670000,8,5,8,Centro
73,2610000,5,8,5,Derecha
74,2430000,3,8,2,Izquierda
24,1290000,9,4,5,Derecha
52,2330000,9,3,6,Derecha
30,650000,4,3,1,Centro
20,1190000,2,5,9,Izquierda
61,1060000,8,8,8,Centro
24,2020000,8,1,7,Derecha
57,2630000,6,6,7,Centro
33,1200000,2,8,5,Izquierda
32,1550000,3,9,3,Izquierda
58,390000,6,5,4,Centro
52,1630000,6,8,5,Izquierda
39,1720000,6,6,5,Izquierda
34,750000,9,3,7,Derecha
28,710000,7,5,4,Izquierda
47,1040000,6,4,5,Derecha
40,1430000,7,5,10,Derecha
33,680000,5,6,6,Centro
52,390000,6,5,8,Derecha
36,600000,5,6,1,Centro
40,820000,4,8,6,Izquierda
43,800000,6,6,2,Izquierda
51,3830000,6,4,5,Centro
72,630000,4,4,5,Centro
56,1250000,5,3,9,Derecha
63,1700000,5,6,4,Centro
49,1450000,1,6,4,Izquierda
53,1250000,5,3,7,Derecha
55,410000,5,6,1,Izquierda
45,470000,5,6,7,Centro
29,1850000,6,7,7,Centro
38,580000,2,7,6,Izquierda
41,3110000,8,6,4,Derecha
31,1200000,8,2,5,Derecha
56,1940000,3,6,3,Izquierda
61,1700000,6,4,5,Centro
46,1590000,8,4,7,Derecha
41,880000,7,2,6,Derecha
57,3040000,5,7,3,Izquierda
52,3940000,6,1,5,Derecha
21,1980000,6,6,7,Derecha
56,830000,5,4,6,Centro
47,1260000,4,7,2,Izquierda
39,4030000,5,3,3,Derecha
37,2030000,9,7,3,Derecha
40,840000,8,3,4,Derecha
28,5060000,6,4,4,Izquierda
48,1290000,7,7,6,Centro
56,740000,5,7,7,Centro
19,860000,3,7,3,Izquierda
